Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:11:19.119,target,BB Gun,0s,1,1,1,1,1,1,false
2,08:11:20.062,target,BB Gun,0s,1,1,1,1,1,1,false
3,08:11:20.753,target,BB Gun,0s,1,1,1,1,1,1,false
4,08:11:21.457,target,BB Gun,0s,1,1,1,1,1,1,false
5,08:11:22.061,target,BB Gun,0s,1,1,1,1,1,1,false
6,08:11:23.008,target,BB Gun,0s,1,1,1,1,1,1,false
7,08:11:23.549,target,BB Gun,0s,1,1,1,1,1,1,false
8,08:11:24.352,target,BB Gun,0s,1,1,1,1,1,1,false
9,08:11:25.056,target,BB Gun,0s,1,1,1,1,1,1,false
10,08:11:25.876,target,BB Gun,0s,1,1,1,1,1,1,false
11,08:11:27.453,target,BB Gun,0.569s,2,1,0.5,1,2,0.5,false
12,08:11:28.294,target,BB Gun,0.364s,2,1,0.5,1,2,0.5,false
13,08:11:29.064,target,BB Gun,0s,1,1,1,1,1,1,false
14,08:11:29.605,target,BB Gun,0s,1,1,1,1,1,1,false
15,08:11:30.182,target,BB Gun,0s,1,1,1,1,1,1,false
16,08:11:31.132,target,BB Gun,0s,1,1,1,1,1,1,false
17,08:11:31.689,target,BB Gun,0s,1,1,1,1,1,1,false
18,08:11:32.119,target,BB Gun,0s,1,1,1,1,1,1,false
19,08:11:32.663,target,BB Gun,0s,1,1,1,1,1,1,false
20,08:11:33.137,target,BB Gun,0s,1,1,1,1,1,1,false
21,08:11:33.858,target,BB Gun,0s,1,1,1,1,1,1,false
22,08:11:34.545,target,BB Gun,0s,1,1,1,1,1,1,false
23,08:11:34.933,target,BB Gun,0s,1,1,1,1,1,1,false
24,08:11:35.556,target,BB Gun,0s,1,1,1,1,1,1,false
25,08:11:36.270,target,BB Gun,0s,1,1,1,1,1,1,false
26,08:11:37.004,target,BB Gun,0.001s,1,1,1,1,1,1,false
27,08:11:37.501,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,08:11:38.201,target,BB Gun,0s,1,1,1,1,1,1,false
29,08:11:38.850,target,BB Gun,0.247s,2,1,0.5,1,2,0.5,false
30,08:11:39.520,target,BB Gun,0s,1,1,1,1,1,1,false
31,08:11:40.584,target,BB Gun,0.36s,2,1,0.5,1,2,0.5,false
32,08:11:41.315,target,BB Gun,0s,1,1,1,1,1,1,false
33,08:11:42.169,target,BB Gun,0s,1,1,1,1,1,1,false
34,08:11:43.080,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,08:11:44.890,target,BB Gun,0.927s,2,1,0.5,1,2,0.5,false
36,08:11:45.537,target,BB Gun,0s,1,1,1,1,1,1,false
37,08:11:46.287,target,BB Gun,0s,1,1,1,1,1,1,false
38,08:11:47.012,target,BB Gun,0s,1,1,1,1,1,1,false
39,08:11:47.906,target,BB Gun,0s,1,1,1,1,1,1,false
40,08:11:48.626,target,BB Gun,0s,1,1,1,1,1,1,false
41,08:11:49.263,target,BB Gun,0s,1,1,1,1,1,1,false
42,08:11:50.480,target,BB Gun,0.283s,2,1,0.5,1,2,0.5,false
43,08:11:51.031,target,BB Gun,0s,1,1,1,1,1,1,false
44,08:11:51.551,target,BB Gun,0s,1,1,1,1,1,1,false
45,08:11:52.092,target,BB Gun,0s,1,1,1,1,1,1,false
46,08:11:52.669,target,BB Gun,0s,1,1,1,1,1,1,false
47,08:11:53.426,target,BB Gun,0s,1,1,1,1,1,1,false
48,08:11:54.087,target,BB Gun,0s,1,1,1,1,1,1,false
49,08:11:54.620,target,BB Gun,0s,1,1,1,1,1,1,false
50,08:11:55.375,target,BB Gun,0s,1,1,1,1,1,1,false
51,08:11:55.886,target,BB Gun,0s,1,1,1,1,1,1,false
52,08:11:56.386,target,BB Gun,0s,1,1,1,1,1,1,false
53,08:11:57.156,target,BB Gun,0s,1,1,1,1,1,1,false
54,08:11:58.063,target,BB Gun,0s,1,1,1,1,1,1,false
55,08:11:58.702,target,BB Gun,0s,1,1,1,1,1,1,false
56,08:11:59.349,target,BB Gun,0s,1,1,1,1,1,1,false
57,08:12:00.093,target,BB Gun,0s,1,1,1,1,1,1,false
58,08:12:00.720,target,BB Gun,0s,1,1,1,1,1,1,false
59,08:12:02.197,target,BB Gun,0s,1,1,1,1,1,1,false
60,08:12:03.045,target,BB Gun,0s,1,1,1,1,1,1,false
61,08:12:03.692,target,BB Gun,0s,1,1,1,1,1,1,false
62,08:12:04.193,target,BB Gun,0.001s,1,1,1,1,1,1,false
63,08:12:04.786,target,BB Gun,0s,1,1,1,1,1,1,false
64,08:12:05.486,target,BB Gun,0s,1,1,1,1,1,1,false
65,08:12:06.474,target,BB Gun,0s,1,1,1,1,1,1,false
66,08:12:07.086,target,BB Gun,0s,1,1,1,1,1,1,false
67,08:12:07.901,target,BB Gun,0s,1,1,1,1,1,1,false
68,08:12:08.812,target,BB Gun,0.001s,1,1,1,1,1,1,false
69,08:12:09.595,target,BB Gun,0s,1,1,1,1,1,1,false
70,08:12:10.079,target,BB Gun,0s,1,1,1,1,1,1,false
71,08:12:10.733,target,BB Gun,0s,1,1,1,1,1,1,false
72,08:12:11.543,target,BB Gun,0s,1,1,1,1,1,1,false
73,08:12:12.231,target,BB Gun,0.27s,2,1,0.5,1,2,0.5,false
74,08:12:12.841,target,BB Gun,0s,1,1,1,1,1,1,false
75,08:12:13.699,target,BB Gun,0s,1,1,1,1,1,1,false
76,08:12:14.603,target,BB Gun,0s,1,1,1,1,1,1,false
77,08:12:15.237,target,BB Gun,0s,1,1,1,1,1,1,false
78,08:12:16.073,target,BB Gun,0s,1,1,1,1,1,1,false
79,08:12:16.691,target,BB Gun,0s,1,1,1,1,1,1,false
80,08:12:17.398,target,BB Gun,0.001s,1,1,1,1,1,1,false
81,08:12:18.009,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,88,81,81.0,88.0,

Kills:,81
Deaths:,0
Fight Time:,3.026
Avg TTK:,0.741
Damage Done:,81.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,745.568176
Scenario:,1wall 6targets small
Hash:,7378a811f430b6072d052a75896afb98
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
