Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:10:32.854,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
2,11:10:35.285,test,pistol,1.033s,2,1,0.5,1000,4000,0.25,false
3,11:10:35.915,test,pistol,0s,1,1,1,1000,2000,0.5,false
4,11:10:36.767,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,11:10:37.611,test,pistol,0s,1,1,1,1000,2000,0.5,false
6,11:10:38.978,test,pistol,0.53s,2,1,0.5,1000,4000,0.25,false
7,11:10:39.915,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,11:10:40.860,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
9,11:10:41.483,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,11:10:41.900,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,11:10:42.675,test,pistol,0s,1,1,1,1000,2000,0.5,false
12,11:10:43.261,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
13,11:10:44.007,test,pistol,0s,1,1,1,1000,2000,0.5,false
14,11:10:44.704,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,11:10:45.248,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,11:10:46.390,test,pistol,0.651s,2,1,0.5,1000,4000,0.25,false
17,11:10:47.470,test,pistol,0s,1,1,1,1000,2000,0.5,false
18,11:10:48.375,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,11:10:49.605,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,11:10:50.212,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,11:10:50.783,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,11:10:52.173,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,11:10:52.774,test,pistol,0s,1,1,1,1000,2000,0.5,false
24,11:10:53.485,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,11:10:54.136,test,pistol,0s,1,1,1,1000,2000,0.5,false
26,11:10:55.644,test,pistol,0.67s,2,1,0.5,1000,4000,0.25,false
27,11:10:56.555,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,11:10:57.210,test,pistol,0.358s,2,1,0.5,1000,4000,0.25,false
29,11:10:57.768,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,11:10:58.263,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
31,11:10:59.864,test,pistol,1.088s,2,1,0.5,1000,4000,0.25,false
32,11:11:01.172,test,pistol,0s,1,1,1,1000,2000,0.5,false
33,11:11:02.430,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,11:11:03.147,test,pistol,0s,1,1,1,1000,2000,0.5,false
35,11:11:03.718,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
36,11:11:04.245,test,pistol,0s,1,1,1,1000,2000,0.5,false
37,11:11:04.923,test,pistol,0s,1,1,1,1000,2000,0.5,false
38,11:11:05.918,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,11:11:06.271,test,pistol,0s,1,1,1,1000,2000,0.5,false
40,11:11:06.936,test,pistol,0s,1,1,1,1000,2000,0.5,false
41,11:11:08.097,test,pistol,0.57s,2,1,0.5,1000,4000,0.25,false
42,11:11:08.518,test,pistol,0s,1,1,1,1000,2000,0.5,false
43,11:11:08.990,test,pistol,0s,1,1,1,1000,2000,0.5,false
44,11:11:10.302,test,pistol,0.908s,3,1,0.333,1000,6000,0.167,false
45,11:11:10.734,test,pistol,0s,1,1,1,1000,2000,0.5,false
46,11:11:11.275,test,pistol,0s,1,1,1,1000,2000,0.5,false
47,11:11:12.708,test,pistol,1.029s,3,1,0.333,1000,6000,0.167,false
48,11:11:13.312,test,pistol,0s,1,1,1,1000,2000,0.5,false
