Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:45:26.587,target,BB Gun,0s,1,1,1,1,1,1,false
2,10:45:27.079,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,10:45:27.596,target,BB Gun,0s,1,1,1,1,1,1,false
4,10:45:28.717,target,BB Gun,0.42s,2,1,0.5,1,2,0.5,false
5,10:45:29.221,target,BB Gun,0s,1,1,1,1,1,1,false
6,10:45:30.038,target,BB Gun,0s,1,1,1,1,1,1,false
7,10:45:30.713,target,BB Gun,0s,1,1,1,1,1,1,false
8,10:45:31.384,target,BB Gun,0.001s,1,1,1,1,1,1,false
9,10:45:32.068,target,BB Gun,0s,1,1,1,1,1,1,false
10,10:45:32.783,target,BB Gun,0s,1,1,1,1,1,1,false
11,10:45:33.624,target,BB Gun,0s,1,1,1,1,1,1,false
12,10:45:34.274,target,BB Gun,0s,1,1,1,1,1,1,false
13,10:45:34.788,target,BB Gun,0s,1,1,1,1,1,1,false
14,10:45:35.433,target,BB Gun,0s,1,1,1,1,1,1,false
15,10:45:36.102,target,BB Gun,0s,1,1,1,1,1,1,false
16,10:45:36.693,target,BB Gun,0s,1,1,1,1,1,1,false
17,10:45:37.196,target,BB Gun,0s,1,1,1,1,1,1,false
18,10:45:37.650,target,BB Gun,0s,1,1,1,1,1,1,false
19,10:45:38.451,target,BB Gun,0s,1,1,1,1,1,1,false
20,10:45:38.958,target,BB Gun,0s,1,1,1,1,1,1,false
21,10:45:39.687,target,BB Gun,0s,1,1,1,1,1,1,false
22,10:45:40.305,target,BB Gun,0s,1,1,1,1,1,1,false
23,10:45:41.536,target,BB Gun,0s,1,1,1,1,1,1,false
24,10:45:42.151,target,BB Gun,0s,1,1,1,1,1,1,false
25,10:45:42.536,target,BB Gun,0.001s,1,1,1,1,1,1,false
26,10:45:43.173,target,BB Gun,0s,1,1,1,1,1,1,false
27,10:45:44.050,target,BB Gun,0.313s,2,1,0.5,1,2,0.5,false
28,10:45:44.705,target,BB Gun,0s,1,1,1,1,1,1,false
29,10:45:45.596,target,BB Gun,0s,1,1,1,1,1,1,false
30,10:45:46.276,target,BB Gun,0s,1,1,1,1,1,1,false
31,10:45:47.040,target,BB Gun,0s,1,1,1,1,1,1,false
32,10:45:47.748,target,BB Gun,0s,1,1,1,1,1,1,false
33,10:45:48.115,target,BB Gun,0s,1,1,1,1,1,1,false
34,10:45:48.698,target,BB Gun,0s,1,1,1,1,1,1,false
35,10:45:49.142,target,BB Gun,0s,1,1,1,1,1,1,false
36,10:45:49.593,target,BB Gun,0s,1,1,1,1,1,1,false
37,10:45:50.331,target,BB Gun,0s,1,1,1,1,1,1,false
38,10:45:50.912,target,BB Gun,0s,1,1,1,1,1,1,false
39,10:45:51.406,target,BB Gun,0s,1,1,1,1,1,1,false
40,10:45:51.913,target,BB Gun,0s,1,1,1,1,1,1,false
41,10:45:52.740,target,BB Gun,0s,1,1,1,1,1,1,false
42,10:45:53.592,target,BB Gun,0s,1,1,1,1,1,1,false
43,10:45:54.763,target,BB Gun,0.333s,2,1,0.5,1,2,0.5,false
44,10:45:55.881,target,BB Gun,0.333s,2,1,0.5,1,2,0.5,false
45,10:45:56.332,target,BB Gun,0s,1,1,1,1,1,1,false
46,10:45:57.076,target,BB Gun,0s,1,1,1,1,1,1,false
47,10:45:57.391,target,BB Gun,0s,1,1,1,1,1,1,false
48,10:45:58.095,target,BB Gun,0s,1,1,1,1,1,1,false
49,10:45:58.889,target,BB Gun,0s,1,1,1,1,1,1,false
50,10:45:59.360,target,BB Gun,0s,1,1,1,1,1,1,false
51,10:45:59.887,target,BB Gun,0s,1,1,1,1,1,1,false
52,10:46:00.485,target,BB Gun,0s,1,1,1,1,1,1,false
53,10:46:01.299,target,BB Gun,0.394s,2,1,0.5,1,2,0.5,false
54,10:46:01.860,target,BB Gun,0s,1,1,1,1,1,1,false
55,10:46:02.564,target,BB Gun,0s,1,1,1,1,1,1,false
56,10:46:03.332,target,BB Gun,0.001s,1,1,1,1,1,1,false
57,10:46:04.496,target,BB Gun,0.344s,2,1,0.5,1,2,0.5,false
58,10:46:04.894,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,10:46:05.742,target,BB Gun,0s,1,1,1,1,1,1,false
60,10:46:06.746,target,BB Gun,0s,1,1,1,1,1,1,false
61,10:46:07.527,target,BB Gun,0s,1,1,1,1,1,1,false
62,10:46:08.268,target,BB Gun,0s,1,1,1,1,1,1,false
63,10:46:08.902,target,BB Gun,0s,1,1,1,1,1,1,false
64,10:46:09.450,target,BB Gun,0.001s,1,1,1,1,1,1,false
65,10:46:10.077,target,BB Gun,0s,1,1,1,1,1,1,false
66,10:46:10.801,target,BB Gun,0s,1,1,1,1,1,1,false
67,10:46:11.279,target,BB Gun,0.001s,1,1,1,1,1,1,false
68,10:46:11.963,target,BB Gun,0s,1,1,1,1,1,1,false
69,10:46:12.507,target,BB Gun,0.001s,1,1,1,1,1,1,false
70,10:46:13.217,target,BB Gun,0s,1,1,1,1,1,1,false
71,10:46:13.822,target,BB Gun,0s,1,1,1,1,1,1,false
72,10:46:14.640,target,BB Gun,0s,1,1,1,1,1,1,false
