Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:51:09.865,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,07:51:10.457,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,07:51:11.024,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
4,07:51:11.728,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,07:51:12.175,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
6,07:51:13.401,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,07:51:14.335,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
8,07:51:15.216,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
9,07:51:16.298,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
10,07:51:17.249,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
11,07:51:19.070,Pigeon,pistol,1.25s,2,1,0.5,50,250,0.2,false
12,07:51:20.079,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,07:51:22.907,Pigeon,pistol,1.454s,2,1,0.5,50,250,0.2,false
14,07:51:24.742,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
15,07:51:25.356,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
16,07:51:26.330,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,07:51:27.014,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
18,07:51:28.144,Pigeon,pistol,0.58s,2,1,0.5,50,250,0.2,false
19,07:51:29.308,Pigeon,pistol,0.683s,2,1,0.5,50,250,0.2,false
20,07:51:30.136,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
21,07:51:30.710,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,07:51:31.764,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,07:51:32.732,Pigeon,pistol,0.64s,2,1,0.5,50,250,0.2,false
24,07:51:33.125,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
25,07:51:33.973,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,07:51:34.735,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,07:51:35.526,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
28,07:51:36.921,Pigeon,pistol,0.884s,2,1,0.5,50,250,0.2,false
29,07:51:37.442,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
30,07:51:38.393,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,07:51:39.234,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,07:51:40.115,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,07:51:41.441,Pigeon,pistol,0.762s,2,1,0.5,50,250,0.2,false
34,07:51:42.309,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,07:51:42.930,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
36,07:51:44.283,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,07:51:44.923,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
38,07:51:45.538,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
39,07:51:47.302,Pigeon,pistol,1.061s,2,1,0.5,50,250,0.2,false
40,07:51:49.690,Pigeon,pistol,1.129s,2,1,0.5,50,250,0.2,false
41,07:51:50.411,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,07:51:51.411,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,07:51:52.253,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
44,07:51:53.770,Pigeon,pistol,0.347s,2,1,0.5,50,250,0.2,false
45,07:51:54.364,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,07:51:55.252,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
47,07:51:56.016,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
48,07:51:57.019,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
49,07:51:58.344,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
50,07:51:59.185,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,07:52:00.329,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
52,07:52:01.206,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
53,07:52:02.418,Pigeon,pistol,0.611s,2,1,0.5,50,250,0.2,false
54,07:52:03.175,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
55,07:52:04.613,Pigeon,pistol,0.571s,2,1,0.5,50,250,0.2,false
56,07:52:05.948,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
57,07:52:07.312,Pigeon,pistol,0.361s,2,1,0.5,50,250,0.2,false
58,07:52:08.622,Pigeon,pistol,0.505s,2,1,0.5,50,250,0.2,false
59,07:52:10.012,Pigeon,pistol,0.454s,2,1,0.5,50,250,0.2,false
60,07:52:11.520,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
61,07:52:12.671,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
62,07:52:13.858,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
63,07:52:15.339,Pigeon,pistol,1.004s,2,1,0.5,50,250,0.2,false
64,07:52:16.093,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
65,07:52:17.234,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
66,07:52:17.876,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,83,66,3300.0,10375.0,

Kills:,66
Deaths:,0
Fight Time:,12.301
Avg TTK:,1.07
Damage Done:,3300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,52.48193
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
