Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:01:16.155,Pigeon,LG,0.323s,7,5,0.714,30,42,0.714,false
2,08:01:17.575,Pigeon,LG,0.757s,15,5,0.333,30,90,0.333,false
3,08:01:18.679,Pigeon,LG,0.43s,9,5,0.556,30,54,0.556,false
4,08:01:19.783,Pigeon,LG,0.54s,11,5,0.455,30,66,0.455,false
5,08:01:20.609,Pigeon,LG,0.213s,5,5,1,30,30,1,false
6,08:01:21.696,Pigeon,LG,0.563s,10,5,0.5,30,60,0.5,false
7,08:01:22.566,Pigeon,LG,0.324s,7,5,0.714,30,42,0.714,false
8,08:01:23.493,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
9,08:01:24.284,Pigeon,LG,0.213s,5,5,1,30,30,1,false
10,08:01:24.880,Pigeon,LG,0.323s,7,5,0.714,30,42,0.714,false
11,08:01:25.960,Pigeon,LG,0.43s,9,5,0.556,30,54,0.556,false
12,08:01:27.014,Pigeon,LG,0.323s,7,5,0.714,30,42,0.714,false
13,08:01:28.601,Pigeon,LG,1.191s,10,5,0.5,30,60,0.5,false
14,08:01:29.761,Pigeon,LG,0.43s,9,5,0.556,30,54,0.556,false
15,08:01:31.183,Pigeon,LG,0.592s,12,5,0.417,30,72,0.417,false
16,08:01:32.710,Pigeon,LG,1.068s,17,5,0.294,30,102,0.294,false
17,08:01:33.376,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
18,08:01:34.381,Pigeon,LG,0.431s,9,5,0.556,30,54,0.556,false
19,08:01:35.345,Pigeon,LG,0.487s,10,5,0.5,30,60,0.5,false
20,08:01:36.688,Pigeon,LG,0.646s,13,5,0.385,30,78,0.385,false
21,08:01:38.065,Pigeon,LG,0.647s,13,5,0.385,30,78,0.385,false
22,08:01:38.852,Pigeon,LG,0.429s,9,5,0.556,30,54,0.556,false
23,08:01:39.665,Pigeon,LG,0.43s,9,5,0.556,30,54,0.556,false
24,08:01:41.599,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
25,08:01:43.646,Pigeon,LG,1.406s,27,5,0.185,30,162,0.185,false
26,08:01:44.836,Pigeon,LG,0.809s,16,5,0.312,30,96,0.312,false
27,08:01:47.023,Pigeon,LG,1.026s,20,5,0.25,30,120,0.25,false
28,08:01:47.887,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
29,08:01:49.130,Pigeon,LG,0.81s,16,5,0.312,30,96,0.312,false
30,08:01:50.087,Pigeon,LG,0.664s,11,5,0.455,30,66,0.455,false
31,08:01:50.807,Pigeon,LG,0.213s,5,5,1,30,30,1,false
32,08:01:51.547,Pigeon,LG,0.27s,6,5,0.833,30,36,0.833,false
33,08:01:52.384,Pigeon,LG,0.27s,6,5,0.833,30,36,0.833,false
34,08:01:53.424,Pigeon,LG,0.43s,9,5,0.556,30,54,0.556,false
35,08:01:54.697,Pigeon,LG,0.487s,10,5,0.5,30,60,0.5,false
36,08:01:55.531,Pigeon,LG,0.27s,6,5,0.833,30,36,0.833,false
37,08:01:56.578,Pigeon,LG,0.214s,5,5,1,30,30,1,false
38,08:01:57.448,Pigeon,LG,0.213s,5,5,1,30,30,1,false
39,08:02:00.605,Pigeon,LG,2.614s,45,9,0.2,54,270,0.2,false
40,08:02:01.215,Pigeon,LG,0.213s,5,5,1,30,30,1,false
41,08:02:01.882,Pigeon,LG,0.27s,6,5,0.833,30,36,0.833,false
42,08:02:02.489,Pigeon,LG,0s,1,1,1,6,6,1,false
43,08:02:03.790,Pigeon,LG,0.484s,10,5,0.5,30,60,0.5,false
44,08:02:05.107,Pigeon,LG,0.593s,12,5,0.417,30,72,0.417,false
45,08:02:05.961,Pigeon,LG,0.377s,8,5,0.625,30,48,0.625,false
46,08:02:06.764,Pigeon,LG,0.486s,10,5,0.5,30,60,0.5,false
47,08:02:07.928,Pigeon,LG,0.486s,10,5,0.5,30,60,0.5,false
48,08:02:08.939,Pigeon,LG,0.376s,8,5,0.625,30,48,0.625,false
49,08:02:11.046,Pigeon,LG,1.407s,21,5,0.238,30,126,0.238,false
50,08:02:11.829,Pigeon,LG,0.27s,6,5,0.833,30,36,0.833,false
51,08:02:12.949,Pigeon,LG,0.324s,7,5,0.714,30,42,0.714,false
52,08:02:13.973,Pigeon,LG,0.213s,5,5,1,30,30,1,false
53,08:02:14.913,Pigeon,LG,0.214s,5,5,1,30,30,1,false
54,08:02:16.131,Pigeon,LG,0.866s,17,5,0.294,30,102,0.294,false
55,08:02:17.892,Pigeon,LG,0.974s,15,5,0.333,30,90,0.333,false
56,08:02:19.126,Pigeon,LG,0.593s,12,5,0.417,30,72,0.417,false
57,08:02:20.107,Pigeon,LG,0.377s,8,5,0.625,30,48,0.625,false
58,08:02:21.794,Pigeon,LG,1.243s,24,5,0.208,30,144,0.208,false
59,08:02:22.907,Pigeon,LG,0.323s,7,5,0.714,30,42,0.714,false
60,08:02:24.211,Pigeon,LG,0.756s,15,5,0.333,30,90,0.333,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,652,305,1830.0,3912.0,

Kills:,61
Deaths:,0
Fight Time:,33.751999
Avg TTK:,1.157
Damage Done:,1830.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,61.0
Scenario:,Bounce 180 Tracking
Hash:,34eb3c5e616da024acf883f4ac7ec524
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
