Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:19:27.015,Quaker Bot Fast Strafes,LG,8.417s,184,50,0.272,300,1104,0.272,false
2,10:19:34.976,Quaker Bot Fast Strafes,LG,5.517s,121,50,0.413,300,726,0.413,false
3,10:19:42.987,Quaker Bot Fast Strafes,LG,6.024s,132,50,0.379,300,792,0.379,false
4,10:19:52.571,Quaker Bot Fast Strafes,LG,7.67s,166,50,0.301,300,996,0.301,false
5,10:20:02.204,Quaker Bot Fast Strafes,LG,7.814s,157,50,0.318,300,942,0.318,false
6,10:20:11.319,Quaker Bot Fast Strafes,LG,6.808s,149,50,0.336,300,894,0.336,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1010,349,2094.0,6060.0,

Kills:,6
Deaths:,0
Fight Time:,42.25
Avg TTK:,10
Damage Done:,2094.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,353.091156
Score:,2170.710938
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
