Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:21:03.242,Quaker Bot Fast Strafes,LG,6.806s,149,50,0.336,300,894,0.336,false
2,10:21:11.133,Quaker Bot Fast Strafes,LG,6.025s,132,50,0.379,300,792,0.379,false
3,10:21:17.690,Quaker Bot Fast Strafes,LG,4.643s,102,50,0.49,300,612,0.49,false
4,10:21:22.991,Quaker Bot Fast Strafes,LG,3.494s,77,50,0.649,300,462,0.649,false
5,10:21:31.651,Quaker Bot Fast Strafes,LG,6.576s,144,50,0.347,300,864,0.347,false
6,10:21:38.811,Quaker Bot Fast Strafes,LG,5.196s,114,50,0.439,300,684,0.439,false
7,10:21:45.192,Quaker Bot Fast Strafes,LG,4.553s,100,50,0.5,300,600,0.5,false
8,10:21:54.167,Quaker Bot Fast Strafes,LG,6.906s,147,50,0.34,300,882,0.34,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,965,400,2400.0,5790.0,

Kills:,8
Deaths:,0
Fight Time:,44.199001
Avg TTK:,7.5
Damage Done:,2400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,4064.275146
Score:,2984.456055
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
