Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:21:19.826,Quaker Bot Fast Strafes,LG,5.657s,124,50,0.403,300,744,0.403,false
2,15:21:27.963,Quaker Bot Fast Strafes,LG,6.346s,139,50,0.36,300,834,0.36,false
3,15:21:36.921,Quaker Bot Fast Strafes,LG,6.988s,153,50,0.327,300,918,0.327,false
4,15:21:44.989,Quaker Bot Fast Strafes,LG,6.069s,133,50,0.376,300,798,0.376,false
5,15:21:53.160,Quaker Bot Fast Strafes,LG,6.298s,138,50,0.362,300,828,0.362,false
6,15:22:02.160,Quaker Bot Fast Strafes,LG,7.179s,153,50,0.327,300,918,0.327,false
7,15:22:08.905,Quaker Bot Fast Strafes,LG,4.919s,108,50,0.463,300,648,0.463,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1012,374,2244.0,6072.0,

Kills:,7
Deaths:,0
Fight Time:,43.456001
Avg TTK:,8.571
Damage Done:,2244.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2487.913086
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
