Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:11:16.364,Quaker Bot Fast Strafes,LG,4.324s,95,50,0.526,300,570,0.526,false
2,17:11:22.851,Quaker Bot Fast Strafes,LG,4.46s,98,50,0.51,300,588,0.51,false
3,17:11:30.012,Quaker Bot Fast Strafes,LG,5.197s,114,50,0.439,300,684,0.439,false
4,17:11:35.679,Quaker Bot Fast Strafes,LG,3.4s,75,50,0.667,300,450,0.667,false
5,17:11:41.856,Quaker Bot Fast Strafes,LG,4.366s,96,50,0.521,300,576,0.521,false
6,17:11:47.306,Quaker Bot Fast Strafes,LG,3.539s,78,50,0.641,300,468,0.641,false
7,17:11:53.850,Quaker Bot Fast Strafes,LG,4.643s,102,50,0.49,300,612,0.49,false
8,17:11:59.697,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
9,17:12:07.167,Quaker Bot Fast Strafes,LG,5.473s,120,50,0.417,300,720,0.417,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,924,481,2886.0,5544.0,

Kills:,9
Deaths:,0
Fight Time:,39.402
Avg TTK:,6.667
Damage Done:,2886.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8658.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
