Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:14:07.857,Quaker Bot Fast Strafes,LG,4.643s,102,50,0.49,300,612,0.49,false
2,17:14:13.861,Quaker Bot Fast Strafes,LG,3.926s,85,50,0.588,300,510,0.588,false
3,17:14:20.568,Quaker Bot Fast Strafes,LG,4.507s,99,50,0.505,300,594,0.505,false
4,17:14:27.855,Quaker Bot Fast Strafes,LG,4.92s,108,50,0.463,300,648,0.463,false
5,17:14:34.618,Quaker Bot Fast Strafes,LG,4.737s,104,50,0.481,300,624,0.481,false
6,17:14:40.439,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
7,17:14:47.346,Quaker Bot Fast Strafes,LG,5.104s,112,50,0.446,300,672,0.446,false
8,17:14:53.670,Quaker Bot Fast Strafes,LG,4.366s,96,50,0.521,300,576,0.521,false
9,17:15:00.516,Quaker Bot Fast Strafes,LG,5.057s,111,50,0.45,300,666,0.45,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,905,450,2700.0,5430.0,

Kills:,9
Deaths:,0
Fight Time:,41.259998
Avg TTK:,6.667
Damage Done:,2700.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8100.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
