Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:27:21.015,Quaker Bot Fast Strafes,LG,5.286s,116,50,0.431,300,696,0.431,false
2,10:27:28.840,Quaker Bot Fast Strafes,LG,5.793s,127,50,0.394,300,762,0.394,false
3,10:27:36.062,Quaker Bot Fast Strafes,LG,5.103s,112,50,0.446,300,672,0.446,false
4,10:27:45.252,Quaker Bot Fast Strafes,LG,7.173s,157,50,0.318,300,942,0.318,false
5,10:27:51.032,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
6,10:27:57.196,Quaker Bot Fast Strafes,LG,4.183s,92,50,0.543,300,552,0.543,false
7,10:28:04.003,Quaker Bot Fast Strafes,LG,4.736s,104,50,0.481,300,624,0.481,false
8,10:28:09.067,Quaker Bot Fast Strafes,LG,3.31s,73,50,0.685,300,438,0.685,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,954,442,2652.0,5724.0,

Kills:,8
Deaths:,0
Fight Time:,39.584
Avg TTK:,7.5
Damage Done:,2652.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7956.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
