Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:29:02.860,Quaker Bot Fast Strafes,LG,3.356s,74,50,0.676,300,444,0.676,false
2,10:29:09.284,Quaker Bot Fast Strafes,LG,4.276s,94,50,0.532,300,564,0.532,false
3,10:29:15.575,Quaker Bot Fast Strafes,LG,4.277s,94,50,0.532,300,564,0.532,false
4,10:29:22.166,Quaker Bot Fast Strafes,LG,4.75s,101,50,0.495,300,606,0.495,false
5,10:29:27.694,Quaker Bot Fast Strafes,LG,3.677s,81,50,0.617,300,486,0.617,false
6,10:29:33.795,Quaker Bot Fast Strafes,LG,4.091s,90,50,0.556,300,540,0.556,false
7,10:29:39.979,Quaker Bot Fast Strafes,LG,4.367s,96,50,0.521,300,576,0.521,false
8,10:29:47.240,Quaker Bot Fast Strafes,LG,4.966s,109,50,0.459,300,654,0.459,false
9,10:29:53.297,Quaker Bot Fast Strafes,LG,4.047s,89,50,0.562,300,534,0.562,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,908,494,2964.0,5448.0,

Kills:,9
Deaths:,0
Fight Time:,37.806999
Avg TTK:,6.667
Damage Done:,2964.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8892.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
