Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:44:00.298,Quaker Bot Fast Strafes,LG,5.333s,117,50,0.427,300,702,0.427,false
2,10:44:06.738,Quaker Bot Fast Strafes,LG,4.229s,93,50,0.538,300,558,0.538,false
3,10:44:13.668,Quaker Bot Fast Strafes,LG,5.104s,112,50,0.446,300,672,0.446,false
4,10:44:20.578,Quaker Bot Fast Strafes,LG,4.597s,101,50,0.495,300,606,0.495,false
5,10:44:26.556,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
6,10:44:32.489,Quaker Bot Fast Strafes,LG,4.046s,89,50,0.562,300,534,0.562,false
7,10:44:38.940,Quaker Bot Fast Strafes,LG,4.644s,102,50,0.49,300,612,0.49,false
8,10:44:45.220,Quaker Bot Fast Strafes,LG,4.277s,94,50,0.532,300,564,0.532,false
9,10:44:50.920,Quaker Bot Fast Strafes,LG,3.677s,81,50,0.617,300,486,0.617,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,914,461,2766.0,5484.0,

Kills:,9
Deaths:,0
Fight Time:,39.907001
Avg TTK:,6.667
Damage Done:,2766.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8298.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
