Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:51:15.588,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
2,10:51:23.052,Quaker Bot Fast Strafes,LG,5.38s,113,50,0.442,300,678,0.442,false
3,10:51:29.776,Quaker Bot Fast Strafes,LG,4.597s,101,50,0.495,300,606,0.495,false
4,10:51:37.127,Quaker Bot Fast Strafes,LG,5.057s,111,50,0.45,300,666,0.45,false
5,10:51:44.397,Quaker Bot Fast Strafes,LG,5.427s,119,50,0.42,300,714,0.42,false
6,10:51:52.097,Quaker Bot Fast Strafes,LG,5.286s,116,50,0.431,300,696,0.431,false
7,10:51:59.640,Quaker Bot Fast Strafes,LG,5.287s,116,50,0.431,300,696,0.431,false
8,10:52:06.208,Quaker Bot Fast Strafes,LG,4.366s,96,50,0.521,300,576,0.521,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,919,423,2538.0,5514.0,

Kills:,8
Deaths:,0
Fight Time:,39.400002
Avg TTK:,7.5
Damage Done:,2538.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7614.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
