Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:59:10.708,Quaker Bot Fast Strafes,LG,3.909s,86,50,0.581,300,516,0.581,false
2,17:59:16.351,Quaker Bot Fast Strafes,LG,3.54s,78,50,0.641,300,468,0.641,false
3,17:59:21.988,Quaker Bot Fast Strafes,LG,3.817s,84,50,0.595,300,504,0.595,false
4,17:59:27.888,Quaker Bot Fast Strafes,LG,3.77s,83,50,0.602,300,498,0.602,false
5,17:59:34.149,Quaker Bot Fast Strafes,LG,4.367s,96,50,0.521,300,576,0.521,false
6,17:59:39.753,Quaker Bot Fast Strafes,LG,3.217s,71,50,0.704,300,426,0.704,false
7,17:59:45.846,Quaker Bot Fast Strafes,LG,4.093s,90,50,0.556,300,540,0.556,false
8,17:59:51.834,Quaker Bot Fast Strafes,LG,4.002s,88,50,0.568,300,528,0.568,false
9,17:59:57.421,Quaker Bot Fast Strafes,LG,3.446s,76,50,0.658,300,456,0.658,false
10,18:00:03.788,Quaker Bot Fast Strafes,LG,4.367s,96,50,0.521,300,576,0.521,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,848,500,3000.0,5088.0,

Kills:,10
Deaths:,0
Fight Time:,38.528
Avg TTK:,6
Damage Done:,3000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,9000.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
