Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:01:10.149,Quaker Bot Fast Strafes,LG,3.77s,83,50,0.602,300,498,0.602,false
2,08:01:15.846,Quaker Bot Fast Strafes,LG,3.539s,78,50,0.641,300,468,0.641,false
3,08:01:22.519,Quaker Bot Fast Strafes,LG,4.829s,106,50,0.472,300,636,0.472,false
4,08:01:28.631,Quaker Bot Fast Strafes,LG,3.818s,81,50,0.617,300,486,0.617,false
5,08:01:34.792,Quaker Bot Fast Strafes,LG,3.863s,85,50,0.588,300,510,0.588,false
6,08:01:41.141,Quaker Bot Fast Strafes,LG,4.274s,94,50,0.532,300,564,0.532,false
7,08:01:47.224,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
8,08:01:52.662,Quaker Bot Fast Strafes,LG,3.127s,69,50,0.725,300,414,0.725,false
9,08:01:58.736,Quaker Bot Fast Strafes,LG,4.222s,92,50,0.543,300,552,0.543,false
10,08:02:04.283,Quaker Bot Fast Strafes,LG,3.723s,82,50,0.61,300,492,0.61,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,858,500,3000.0,5148.0,

Kills:,10
Deaths:,0
Fight Time:,39.165001
Avg TTK:,6
Damage Done:,3000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,9000.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
