Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:45:01.972,Quaker Bot Fast Strafes,LG,3.492s,77,50,0.649,300,462,0.649,false
2,08:45:08.228,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
3,08:45:15.138,Quaker Bot Fast Strafes,LG,4.598s,101,50,0.495,300,606,0.495,false
4,08:45:21.468,Quaker Bot Fast Strafes,LG,4.002s,88,50,0.568,300,528,0.568,false
5,08:45:28.589,Quaker Bot Fast Strafes,LG,4.827s,106,50,0.472,300,636,0.472,false
6,08:45:35.207,Quaker Bot Fast Strafes,LG,4.46s,98,50,0.51,300,588,0.51,false
7,08:45:40.982,Quaker Bot Fast Strafes,LG,3.539s,78,50,0.641,300,468,0.641,false
8,08:45:48.475,Quaker Bot Fast Strafes,LG,5.379s,118,50,0.424,300,708,0.424,false
9,08:45:55.359,Quaker Bot Fast Strafes,LG,4.78s,105,50,0.476,300,630,0.476,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,871,452,2712.0,5226.0,

Kills:,9
Deaths:,0
Fight Time:,39.077
Avg TTK:,6.667
Damage Done:,2712.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8136.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
