Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:17:40.041,Quaker Bot Fast Strafes,Shotgun,21.022s,110,40,0.364,560,1540,0.364,false
2,08:17:58.853,Quaker Bot Fast Strafes,Shotgun,16.492s,70,36,0.514,504,980,0.514,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Shotgun,230,95,1330.0,3220.0,

Kills:,2
Deaths:,0
Fight Time:,37.514
Avg TTK:,30
Damage Done:,1330.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3990.0
Scenario:,Close Fast Strafes Shotgun
Hash:,b4e87b148bd666920306dac2f3014069
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
