Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:18:39.490,Quaker Bot Fast Strafes,Shotgun,17.276s,90,37,0.411,518,1260,0.411,false
2,08:18:51.439,Quaker Bot Fast Strafes,Shotgun,9.502s,60,40,0.667,560,840,0.667,false
3,08:19:10.355,Quaker Bot Fast Strafes,Shotgun,16.183s,100,43,0.43,602,1400,0.43,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Shotgun,300,144,2016.0,4200.0,

Kills:,3
Deaths:,0
Fight Time:,42.960999
Avg TTK:,20
Damage Done:,2016.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,6048.0
Scenario:,Close Fast Strafes Shotgun
Hash:,b4e87b148bd666920306dac2f3014069
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
