Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:49:20.333,Quaker Bot Fast Strafes,LG,2.943s,65,50,0.769,300,390,0.769,false
2,10:49:26.763,Quaker Bot Fast Strafes,LG,4.311s,94,50,0.532,300,564,0.532,false
3,10:49:33.346,Quaker Bot Fast Strafes,LG,4.136s,91,50,0.549,300,546,0.549,false
4,10:49:39.177,Quaker Bot Fast Strafes,LG,3.907s,86,50,0.581,300,516,0.581,false
5,10:49:45.217,Quaker Bot Fast Strafes,LG,4s,88,50,0.568,300,528,0.568,false
6,10:49:51.611,Quaker Bot Fast Strafes,LG,4.046s,89,50,0.562,300,534,0.562,false
7,10:49:58.364,Quaker Bot Fast Strafes,LG,4.277s,94,50,0.532,300,564,0.532,false
8,10:50:05.715,Quaker Bot Fast Strafes,LG,5.333s,117,50,0.427,300,702,0.427,false
9,10:50:11.848,Quaker Bot Fast Strafes,LG,3.906s,86,50,0.581,300,516,0.581,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,883,492,2952.0,5298.0,

Kills:,9
Deaths:,0
Fight Time:,36.859001
Avg TTK:,6.667
Damage Done:,2952.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,8856.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
