Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:55:07.516,Quaker Bot Fast Strafes,LG,4.643s,102,50,0.49,300,612,0.49,false
2,10:55:13.913,Quaker Bot Fast Strafes,LG,4.413s,97,50,0.515,300,582,0.515,false
3,10:55:21.957,Quaker Bot Fast Strafes,LG,5.656s,124,50,0.403,300,744,0.403,false
4,10:55:29.244,Quaker Bot Fast Strafes,LG,4.737s,104,50,0.481,300,624,0.481,false
5,10:55:35.474,Quaker Bot Fast Strafes,LG,4.047s,83,50,0.602,300,498,0.602,false
6,10:55:41.954,Quaker Bot Fast Strafes,LG,4.367s,96,50,0.521,300,576,0.521,false
7,10:55:48.735,Quaker Bot Fast Strafes,LG,4.967s,109,50,0.459,300,654,0.459,false
8,10:55:56.649,Quaker Bot Fast Strafes,LG,5.747s,126,50,0.397,300,756,0.397,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,923,441,2646.0,5538.0,

Kills:,8
Deaths:,0
Fight Time:,38.577
Avg TTK:,7.5
Damage Done:,2646.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7938.0
Scenario:,Close Fast Strafes Easy
Hash:,c57ba5eac01377fde8f49607129ac4c5
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
