Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:12:58.694,Fortnite,Pump,3.1s,24,18,0.75,209.916,566.4,0.371,false
2,08:13:05.341,Fortnite,Pump,4.316s,32,19,0.594,247.277,755.2,0.327,false
3,08:13:15.705,Fortnite,Pump,7.728s,40,19,0.475,221.009,944,0.234,false
4,08:13:29.043,Fortnite,Pump,9.675s,56,21,0.375,254.581,1321.599,0.193,false
5,08:13:36.717,Fortnite,Pump,4.744s,24,18,0.75,207.282,566.4,0.366,false
6,08:13:44.501,Fortnite,Pump,5.218s,32,23,0.719,280.959,755.2,0.372,false
7,08:13:52.415,Fortnite,Pump,3.977s,32,16,0.5,200.6,755.2,0.266,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,240,134,1621.625854,5664.013184,
Tac Shotgun,0,0,0.0,0.0,
FN ARv1,0,0,0.0,0.0,
Track Master 100,0,0,0.0,0.0,

Kills:,7
Deaths:,0
Fight Time:,38.757999
Avg TTK:,8.571
Damage Done:,1621.625854
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,9033.25293
Score:,1621.625854
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
