Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:14:16.241,Fortnite,Pump,12.449s,56,20,0.357,292.968,1321.599,0.222,false
2,08:14:25.319,Fortnite,Pump,6.487s,32,16,0.5,247.8,755.2,0.328,false
3,08:14:33.876,Fortnite,Pump,4.063s,24,21,0.875,246.266,566.4,0.435,false
4,08:14:41.961,Fortnite,Pump,5.691s,32,20,0.625,233.463,755.2,0.309,false
5,08:14:49.165,Fortnite,Pump,4.618s,24,21,0.875,245.868,566.4,0.434,false
6,08:14:55.705,Fortnite,Pump,4.061s,24,23,0.958,268.638,566.4,0.474,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,208,131,1711.302979,4908.810059,
Tac Shotgun,0,0,0.0,0.0,
FN ARv1,0,0,0.0,0.0,
Track Master 100,0,0,0.0,0.0,

Kills:,6
Deaths:,0
Fight Time:,37.369999
Avg TTK:,10
Damage Done:,1711.302979
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,7938.85791
Score:,1711.302979
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
