Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:24:15.512,Fortnite,Pump,10.775s,32,17,0.531,199.66,755.2,0.264,false
1,08:24:15.512,Fortnite,Track Master 100,10.775s,182,33,0.181,33,182,0.181,false
2,08:24:24.710,Fortnite,Pump,6.679s,40,21,0.525,257.735,944,0.273,false
3,08:24:31.014,Fortnite,Pump,2.483s,24,12,0.5,247.8,566.4,0.438,false
4,08:24:39.373,Fortnite,Pump,5.369s,32,14,0.438,302.266,755.2,0.4,false
5,08:24:46.824,Fortnite,Pump,4.508s,8,4,0.5,46.269,188.8,0.245,false
5,08:24:46.824,Fortnite,Tac Shotgun,4.508s,40,17,0.425,205.313,800,0.257,false
6,08:24:53.900,Fortnite,Tac Shotgun,3.288s,50,23,0.46,228.679,1000,0.229,false
7,08:25:01.496,Fortnite,Tac Shotgun,3.423s,40,21,0.525,206.124,800,0.258,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,136,68,1053.729004,3209.603271,
Tac Shotgun,130,61,640.115967,2600.0,
FN ARv1,0,0,0.0,0.0,
Track Master 100,182,33,33.0,182.0,

Kills:,7
Deaths:,0
Fight Time:,36.525002
Avg TTK:,8.571
Damage Done:,1726.845459
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,8782.689453
Score:,1726.845459
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
