Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:25:41.972,Fortnite,Tac Shotgun,5.169s,50,20,0.4,215.048,1000,0.215,false
2,08:25:49.797,Fortnite,Tac Shotgun,3.981s,40,20,0.5,217.58,800,0.272,false
3,08:25:57.692,Fortnite,Tac Shotgun,5.495s,60,25,0.417,243.206,1200,0.203,false
4,08:26:03.799,Fortnite,Tac Shotgun,3.438s,40,20,0.5,226.86,800,0.284,false
5,08:26:08.737,Fortnite,Tac Shotgun,2.224s,30,23,0.767,228.305,600,0.381,false
6,08:26:15.962,Fortnite,Tac Shotgun,4.832s,60,25,0.417,255.953,1200,0.213,false
7,08:26:24.444,Fortnite,Tac Shotgun,5.899s,50,25,0.5,249.826,1000,0.25,false
8,08:26:32.398,Fortnite,Tac Shotgun,3.477s,40,21,0.525,210,800,0.262,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,0,0,0.0,0.0,
Tac Shotgun,370,179,1846.77832,7400.0,
FN ARv1,0,0,0.0,0.0,
Track Master 100,0,0,0.0,0.0,

Kills:,8
Deaths:,0
Fight Time:,34.514999
Avg TTK:,7.5
Damage Done:,1846.77832
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,7164.369141
Score:,1846.77832
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
