Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:19:30.975,Fortnite,Pump,6.317s,48,22,0.458,259.6,1132.799,0.229,false
2,18:19:39.145,Fortnite,Pump,4.275s,32,14,0.438,235.612,755.2,0.312,false
3,18:19:44.609,Fortnite,Pump,2.511s,24,16,0.667,247,566.4,0.436,false
4,18:19:49.543,Fortnite,Pump,2.397s,24,13,0.542,254.528,566.4,0.449,false
5,18:20:05.347,Fortnite,Pump,13.211s,80,18,0.225,246.138,1887.999,0.13,false
6,18:20:09.791,Fortnite,Pump,1.224s,16,15,0.938,211.414,377.6,0.56,false
7,18:20:15.655,Fortnite,Pump,3.157s,24,14,0.583,236,566.4,0.417,false
8,18:20:21.293,Fortnite,Pump,3.264s,24,10,0.417,233.599,566.4,0.412,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,272,122,1923.891479,6419.216309,
Tac Shotgun,0,0,0.0,0.0,
FN ARv1,0,0,0.0,0.0,
Track Master 100,0,0,0.0,0.0,

Kills:,8
Deaths:,0
Fight Time:,36.355999
Avg TTK:,7.5
Damage Done:,1923.891479
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,11842.874023
Score:,1923.891479
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
