Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:20:42.915,Fortnite,FN ARv1,5.123s,5,4,0.8,76,190,0.4,false
1,18:20:42.915,Fortnite,Track Master 100,5.123s,327,124,0.379,124,327,0.379,false
2,18:20:55.061,Fortnite,Pump,11.967s,40,10,0.25,234.019,944,0.248,false
2,18:20:55.062,Fortnite,FN ARv1,11.967s,2,0,0,0,76,0,false
3,18:21:05.545,Fortnite,Pump,7.84s,56,12,0.214,233.921,1321.599,0.177,false
4,18:21:12.756,Fortnite,Pump,3.858s,24,10,0.417,200.6,566.4,0.354,false
5,18:21:22.057,Fortnite,Pump,5.191s,40,12,0.3,236,944,0.25,false
6,18:21:26.344,Fortnite,Pump,1.364s,16,9,0.562,212.187,377.6,0.562,false
7,18:21:31.854,Fortnite,Pump,3.034s,24,16,0.667,282.376,566.4,0.499,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,208,70,1422.703735,4908.810059,
Tac Shotgun,0,0,0.0,0.0,
FN ARv1,7,4,76.0,266.0,
Track Master 100,327,124,124.0,327.0,

Kills:,7
Deaths:,0
Fight Time:,38.376999
Avg TTK:,8.571
Damage Done:,1622.703735
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,11485.100586
Score:,1622.703735
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
