Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:22:03.249,Fortnite,Pump,6.381s,40,11,0.275,232.88,944,0.247,false
2,18:22:11.360,Fortnite,Pump,5.108s,32,12,0.375,223.39,755.2,0.296,false
3,18:22:19.318,Fortnite,Pump,5.491s,40,10,0.25,235.881,944,0.25,false
4,18:22:28.059,Fortnite,Pump,6.112s,40,9,0.225,200.6,944,0.213,false
5,18:22:33.220,Fortnite,Pump,2.604s,16,11,0.688,208.113,377.6,0.551,false
6,18:22:39.638,Fortnite,Pump,3.802s,24,15,0.625,236,566.4,0.417,false
7,18:22:44.726,Fortnite,Pump,2.607s,24,10,0.417,212.161,566.4,0.375,false
8,18:22:51.000,Fortnite,Pump,3.704s,32,17,0.531,271.4,755.2,0.359,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Pump,256,95,1820.424561,6041.614746,
Tac Shotgun,0,0,0.0,0.0,
FN ARv1,0,0,0.0,0.0,
Track Master 100,0,0,0.0,0.0,

Kills:,8
Deaths:,0
Fight Time:,35.808998
Avg TTK:,7.5
Damage Done:,1820.424561
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,10245.992188
Score:,1820.424561
Scenario:,Fortnite 1v1 SHTGN & SMG
Hash:,a11dc8cdbb3977bf96b6fbe9db8fd49a
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
