Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:56:53.998,fnflyerslowbot,FN Hunting Rifle No Bloom,4.842s,12,5,0.417,220,1056,0.208,false
2,19:57:00.493,fnflyerslowbot,FN Hunting Rifle No Bloom,3.549s,11,5,0.455,220,968,0.227,false
3,19:57:04.668,fnflyerslowbot,FN Hunting Rifle No Bloom,2.628s,7,5,0.714,220,616,0.357,false
4,19:57:10.482,fnflyerslowbot,FN Hunting Rifle No Bloom,3.783s,12,5,0.417,220,1056,0.208,false
5,19:57:13.316,fnflyerbot,FN Hunting Rifle No Bloom,2.354s,9,5,0.556,220,792,0.278,false
6,19:57:18.383,fnflyerslowbot,FN Hunting Rifle No Bloom,3.285s,12,5,0.417,220,1056,0.208,false
7,19:57:23.193,fnflyerslowbot,FN Hunting Rifle No Bloom,3.577s,10,5,0.5,220,880,0.25,false
8,19:57:27.879,fnflyerslowbot,FN Hunting Rifle No Bloom,2.355s,6,2,0.333,88,528,0.167,false
9,19:57:30.970,fnflyerbot,FN Hunting Rifle No Bloom,2.438s,8,4,0.5,176,704,0.25,false
10,19:57:38.050,fnflyerslowbot,FN Hunting Rifle No Bloom,4.653s,12,4,0.333,220,1056,0.208,false
11,19:57:42.812,fnflyerslowbot,FN Hunting Rifle No Bloom,1.632s,6,5,0.833,220,528,0.417,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
FN Assault Rifle No Bloom,0,0,0.0,0.0,
FN SMG No Bloom,0,0,0.0,0.0,
FN Hunting Rifle No Bloom,117,54,2420.0,10296.0,

Kills:,11
Deaths:,0
Fight Time:,35.096001
Avg TTK:,5.455
Damage Done:,2420.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2420.0
Scenario:,Fortnite Gliders 360
Hash:,d1f51949646ebdc6eca5470eef055616
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
