Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:53:56.547,air_close_short,LG,9.671s,964,553,0.574,721.112,1257.052,0.574,false
2,14:54:07.898,air1_far_short,LG,9.758s,977,553,0.566,721.112,1274.003,0.566,false
3,14:54:32.507,Bot Profile,LG,22.882s,2007,553,0.276,721.112,2617.077,0.276,false
4,14:54:42.408,air1F_close_long,LG,8.867s,888,553,0.623,721.112,1157.951,0.623,false
5,14:54:53.967,air1F_far_long,LG,10.39s,1040,553,0.532,721.112,1356.152,0.532,false
6,14:55:11.492,air1F_close_short,LG,16.237s,1625,553,0.34,721.112,2118.966,0.34,false
7,14:55:25.839,air1F_far_short,LG,12.807s,1282,553,0.431,721.112,1671.709,0.431,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,10974,4424,5769.049316,14309.262695,

Kills:,8
Deaths:,0
Fight Time:,112.510002
Avg TTK:,125
Damage Done:,5769.049316
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,876.357788
Scenario:,Ground Plaza Easy
Hash:,9e1dbc9b183966e69b73aca2836c8165
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
