Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:41:42.749,air_close_short,LG,8.596s,861,553,0.642,721.112,1122.744,0.642,false
2,19:41:51.768,air1_far_short,LG,7.918s,770,553,0.718,721.112,1004.083,0.718,false
3,19:42:16.999,Bot Profile,LG,23.428s,2045,553,0.27,721.112,2666.627,0.27,false
4,19:42:28.920,air1F_close_long,LG,10.197s,1021,553,0.542,721.112,1331.377,0.542,false
5,19:42:41.169,air1F_far_long,LG,11.07s,1108,553,0.499,721.112,1444.821,0.499,false
6,19:42:57.191,air1F_close_short,LG,15.008s,1502,553,0.368,721.112,1958.579,0.368,false
7,19:43:14.638,air1F_far_short,LG,16.387s,1640,553,0.337,721.112,2138.525,0.337,false
8,19:43:36.074,air1_UFO,LG,20.053s,1958,553,0.282,721.112,2553.183,0.282,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,10906,4425,5770.353516,14220.610352,

Kills:,8
Deaths:,0
Fight Time:,112.656998
Avg TTK:,125
Damage Done:,5770.353516
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,876.743164
Scenario:,Ground Plaza Easy
Hash:,9e1dbc9b183966e69b73aca2836c8165
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
