Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:22:26.150,Quaker Bot Hard,LG,3.906s,86,50,0.581,300,516,0.581,false
2,08:22:34.145,Quaker Bot Hard,LG,5.656s,124,50,0.403,300,744,0.403,false
3,08:22:41.406,Quaker Bot Hard,LG,4.921s,108,50,0.463,300,648,0.463,false
4,08:22:49.300,Quaker Bot Hard,LG,5.563s,122,50,0.41,300,732,0.41,false
5,08:22:56.914,Quaker Bot Hard,LG,5.194s,114,50,0.439,300,684,0.439,false
6,08:23:05.811,Quaker Bot Hard,LG,6.622s,145,50,0.345,300,870,0.345,false
7,08:23:13.771,Quaker Bot Hard,LG,5.563s,122,50,0.41,300,732,0.41,false
8,08:23:21.075,Quaker Bot Hard,LG,4.917s,108,50,0.463,300,648,0.463,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,929,400,2400.0,5574.0,

Kills:,8
Deaths:,0
Fight Time:,42.341999
Avg TTK:,7.5
Damage Done:,2400.0
Damage Taken:,2472.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,62330.027344
Score:,2567.922607
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
