Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:15:53.454,Quaker Bot Hard,LG,7.634s,167,50,0.299,300,1002,0.299,false
2,08:16:01.839,Quaker Bot Hard,LG,8.107s,132,50,0.379,300,792,0.379,false
3,08:16:11.717,Quaker Bot Hard,LG,7.403s,162,50,0.309,300,972,0.309,false
4,08:16:19.673,Quaker Bot Hard,LG,5.427s,119,50,0.42,300,714,0.42,false
5,08:16:25.677,Quaker Bot Hard,LG,5.756s,82,50,0.61,300,492,0.61,false
6,08:16:32.958,Quaker Bot Hard,LG,4.919s,108,50,0.463,300,648,0.463,false
7,08:16:39.633,Quaker Bot Hard,LG,4.321s,95,50,0.526,300,570,0.526,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,938,384,2304.0,5628.0,

Kills:,7
Deaths:,0
Fight Time:,43.567001
Avg TTK:,8.571
Damage Done:,2304.0
Damage Taken:,2748.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,53131.34375
Score:,2267.155518
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
