Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:39:06.188,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.377s,219,219,1,200,200,1,false
2,11:39:07.422,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.898s,505,221,0.438,207,460,0.45,false
3,11:39:08.456,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.419s,241,220,0.913,200,220,0.909,false
4,11:39:09.418,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.417s,241,220,0.913,200,220,0.909,false
5,11:39:09.978,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.377s,219,218,0.995,200,200,1,false
6,11:39:10.668,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.499s,285,226,0.793,205,260,0.788,false
7,11:39:11.717,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.44s,252,223,0.885,204,230,0.887,false
8,11:39:12.799,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.617s,351,223,0.635,203,320,0.634,false
9,11:39:13.985,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.66s,373,222,0.595,203,340,0.597,false
10,11:39:14.586,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.4s,230,218,0.948,200,210,0.952,false
11,11:39:15.630,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.779s,439,217,0.494,200,400,0.5,false
12,11:39:16.876,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.658s,373,225,0.603,205,340,0.603,false
13,11:39:17.595,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.399s,230,227,0.987,208,210,0.99,false
14,11:39:18.523,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.377s,219,218,0.995,200,200,1,false
15,11:39:19.487,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.579s,329,223,0.678,205,300,0.683,false
16,11:39:20.540,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.618s,351,222,0.632,206,320,0.644,false
