Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:48:33.370,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.38s,219,219,1,200,200,1,false
2,11:48:33.976,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.377s,219,219,1,200,200,1,false
3,11:48:34.862,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.618s,351,219,0.624,200,320,0.625,false
4,11:48:35.820,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.38s,219,219,1,200,200,1,false
5,11:48:36.888,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.679s,384,226,0.589,207,350,0.591,false
6,11:48:37.779,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.66s,373,221,0.592,203,340,0.597,false
7,11:48:38.699,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.537s,307,221,0.72,203,280,0.725,false
8,11:48:39.607,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.48s,274,223,0.814,204,250,0.816,false
9,11:48:40.698,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.437s,252,221,0.877,202,230,0.878,false
10,11:48:42.018,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.598s,340,225,0.662,205,310,0.661,false
11,11:48:42.816,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.417s,241,226,0.938,206,220,0.936,false
12,11:48:43.454,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.459s,263,223,0.848,206,240,0.858,false
13,11:48:44.116,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.477s,274,229,0.836,209,250,0.836,false
14,11:48:44.716,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.472s,225,218,0.969,200,205,0.976,false
15,11:48:46.086,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.459s,263,221,0.84,203,240,0.846,false
16,11:48:46.788,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.538s,307,228,0.743,208,280,0.743,false
17,11:48:47.370,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.378s,219,219,1,200,200,1,false
18,11:48:48.076,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.479s,274,251,0.916,229,250,0.916,false
19,11:48:48.649,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.468s,230,196,0.852,180,210,0.857,false
