Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:43:20.482,TileFrenzyStrafing Cube,LG,0.365s,9,9,1,54,54,1,false
2,14:43:21.029,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
3,14:43:21.959,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
4,14:43:22.513,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
5,14:43:23.258,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
6,14:43:24.048,TileFrenzyStrafing Cube,LG,0.549s,13,9,0.692,54,78,0.692,false
7,14:43:24.658,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
8,14:43:25.238,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
9,14:43:26.031,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
10,14:43:26.781,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
11,14:43:27.664,TileFrenzyStrafing Cube,LG,0.643s,15,9,0.6,54,90,0.6,false
12,14:43:28.786,TileFrenzyStrafing Cube,LG,0.93s,19,17,0.895,102,114,0.895,false
13,14:43:28.955,TileFrenzyStrafing Cube,LG,0s,1,1,1,6,6,1,false
14,14:43:29.660,TileFrenzyStrafing Cube,LG,0.621s,12,9,0.75,54,72,0.75,false
15,14:43:30.220,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
16,14:43:30.791,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
17,14:43:31.328,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
18,14:43:32.052,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
19,14:43:32.876,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
20,14:43:33.412,TileFrenzyStrafing Cube,LG,0.41s,10,9,0.9,54,60,0.9,false
21,14:43:34.202,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
22,14:43:34.834,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
23,14:43:36.175,TileFrenzyStrafing Cube,LG,1.153s,19,17,0.895,102,114,0.895,false
24,14:43:36.308,TileFrenzyStrafing Cube,LG,0s,1,1,1,6,6,1,false
25,14:43:37.173,TileFrenzyStrafing Cube,LG,0.74s,15,9,0.6,54,90,0.6,false
26,14:43:37.740,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
27,14:43:38.404,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
28,14:43:38.970,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
29,14:43:39.617,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
30,14:43:40.475,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
31,14:43:40.978,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
32,14:43:41.748,TileFrenzyStrafing Cube,LG,0.596s,14,9,0.643,54,84,0.643,false
33,14:43:42.292,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
34,14:43:42.872,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
35,14:43:43.472,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
36,14:43:44.336,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
37,14:43:44.847,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
38,14:43:45.345,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
39,14:43:45.917,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
40,14:43:46.665,TileFrenzyStrafing Cube,LG,0.549s,13,9,0.692,54,78,0.692,false
41,14:43:47.340,TileFrenzyStrafing Cube,LG,0.504s,12,9,0.75,54,72,0.75,false
42,14:43:48.123,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
43,14:43:48.680,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
44,14:43:49.360,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
45,14:43:49.907,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
46,14:43:50.516,TileFrenzyStrafing Cube,LG,0.365s,9,9,1,54,54,1,false
47,14:43:51.176,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
48,14:43:51.723,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
49,14:43:52.300,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
50,14:43:52.834,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
51,14:43:53.612,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
52,14:43:54.379,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
53,14:43:54.901,TileFrenzyStrafing Cube,LG,0.365s,9,9,1,54,54,1,false
54,14:43:55.507,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
55,14:43:56.084,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
56,14:43:56.655,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
57,14:43:57.359,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
58,14:43:57.919,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
59,14:43:58.529,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
60,14:43:59.117,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
61,14:43:59.741,TileFrenzyStrafing Cube,LG,0.412s,10,9,0.9,54,60,0.9,false
62,14:44:00.452,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
63,14:44:00.949,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
64,14:44:02.795,TileFrenzyStrafing Cube,LG,1.491s,28,25,0.893,150,168,0.893,false
65,14:44:03.305,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
66,14:44:03.872,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
67,14:44:04.009,TileFrenzyStrafing Cube,LG,0s,1,1,1,6,6,1,false
68,14:44:04.899,TileFrenzyStrafing Cube,LG,0.669s,14,9,0.643,54,84,0.643,false
69,14:44:05.417,TileFrenzyStrafing Cube,LG,0.27s,5,1,0.2,6,30,0.2,false
70,14:44:06.222,TileFrenzyStrafing Cube,LG,0.551s,13,9,0.692,54,78,0.692,false
71,14:44:07.050,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
72,14:44:07.570,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
73,14:44:08.092,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
74,14:44:08.652,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
75,14:44:09.312,TileFrenzyStrafing Cube,LG,0.456s,11,9,0.818,54,66,0.818,false
76,14:44:10.062,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
77,14:44:10.626,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
78,14:44:11.196,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
79,14:44:12.256,TileFrenzyStrafing Cube,LG,0.596s,14,9,0.643,54,84,0.643,false
80,14:44:12.864,TileFrenzyStrafing Cube,LG,0.411s,10,9,0.9,54,60,0.9,false
81,14:44:13.541,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
82,14:44:14.166,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
83,14:44:14.733,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
84,14:44:15.280,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
85,14:44:15.893,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
86,14:44:16.687,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
87,14:44:17.291,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
88,14:44:17.895,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
89,14:44:18.489,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
90,14:44:19.163,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,932,811,4866.0,5592.0,

Kills:,90
Deaths:,0
Fight Time:,39.398998
Avg TTK:,0.667
Damage Done:,4866.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,90.0
Scenario:,Tile Frenzy 180 Strafing Tracking
Hash:,7beb62ebe3ce5b7867a67af5e45ed33f
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
