Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:51:41.307,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
2,14:51:41.842,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
3,14:51:42.383,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
4,14:51:42.921,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
5,14:51:43.595,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
6,14:51:44.172,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
7,14:51:44.667,TileFrenzyStrafing Cube,LG,0.41s,10,9,0.9,54,60,0.9,false
8,14:51:45.203,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
9,14:51:46.411,TileFrenzyStrafing Cube,LG,0.971s,20,17,0.85,102,120,0.85,false
10,14:51:46.625,TileFrenzyStrafing Cube,LG,0.001s,1,1,1,6,6,1,false
11,14:51:47.398,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
12,14:51:47.942,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
13,14:51:48.706,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
14,14:51:49.230,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
15,14:51:49.803,TileFrenzyStrafing Cube,LG,0.414s,10,9,0.9,54,60,0.9,false
16,14:51:50.447,TileFrenzyStrafing Cube,LG,0.503s,12,9,0.75,54,72,0.75,false
17,14:51:51.104,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
18,14:51:51.671,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
19,14:51:52.775,TileFrenzyStrafing Cube,LG,0.907s,19,17,0.895,102,114,0.895,false
20,14:51:52.931,TileFrenzyStrafing Cube,LG,0.001s,1,1,1,6,6,1,false
21,14:51:54.265,TileFrenzyStrafing Cube,LG,1.137s,17,9,0.529,54,102,0.529,false
22,14:51:55.059,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
23,14:51:55.839,TileFrenzyStrafing Cube,LG,0.504s,12,9,0.75,54,72,0.75,false
24,14:51:56.340,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
25,14:51:56.933,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
26,14:51:57.528,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
27,14:51:58.202,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
28,14:51:58.756,TileFrenzyStrafing Cube,LG,0.411s,10,9,0.9,54,60,0.9,false
29,14:51:59.365,TileFrenzyStrafing Cube,LG,0.412s,10,9,0.9,54,60,0.9,false
30,14:52:00.159,TileFrenzyStrafing Cube,LG,0.597s,14,9,0.643,54,84,0.643,false
31,14:52:00.816,TileFrenzyStrafing Cube,LG,0.457s,11,9,0.818,54,66,0.818,false
32,14:52:01.560,TileFrenzyStrafing Cube,LG,0.504s,12,9,0.75,54,72,0.75,false
33,14:52:02.103,TileFrenzyStrafing Cube,LG,0.366s,9,9,1,54,54,1,false
34,14:52:02.928,TileFrenzyStrafing Cube,LG,0.457s,11,10,0.909,60,66,0.909,false
35,14:52:03.565,TileFrenzyStrafing Cube,LG,0.456s,11,8,0.727,48,66,0.727,false
36,14:52:04.350,TileFrenzyStrafing Cube,LG,0.411s,10,9,0.9,54,60,0.9,false
37,14:52:05.318,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
38,14:52:05.822,TileFrenzyStrafing Cube,LG,0.367s,9,9,1,54,54,1,false
39,14:52:06.379,TileFrenzyStrafing Cube,LG,0.413s,10,9,0.9,54,60,0.9,false
40,14:52:07.161,TileFrenzyStrafing Cube,LG,0.55s,13,9,0.692,54,78,0.692,false
