Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,11:37:34.143,target,pistol,0s,1,1,1,25,50,0.5,false
2,11:37:34.313,target,pistol,0s,1,1,1,25,50,0.5,false
3,11:37:34.723,target,pistol,0s,1,1,1,25,50,0.5,false
4,11:37:34.890,target,pistol,0s,1,1,1,25,50,0.5,false
5,11:37:35.097,target,pistol,0s,1,1,1,25,50,0.5,false
6,11:37:35.287,target,pistol,0.001s,1,1,1,25,50,0.5,false
7,11:37:35.481,target,pistol,0s,1,1,1,25,50,0.5,false
8,11:37:35.769,target,pistol,0s,1,1,1,25,50,0.5,false
9,11:37:35.970,target,pistol,0s,1,1,1,25,50,0.5,false
10,11:37:36.196,target,pistol,0s,1,1,1,25,50,0.5,false
11,11:37:36.413,target,pistol,0s,1,1,1,25,50,0.5,false
12,11:37:36.653,target,pistol,0s,1,1,1,25,50,0.5,false
13,11:37:36.910,target,pistol,0.001s,1,1,1,25,50,0.5,false
14,11:37:37.156,target,pistol,0s,1,1,1,25,50,0.5,false
15,11:37:37.371,target,pistol,0.001s,1,1,1,25,50,0.5,false
16,11:37:37.633,target,pistol,0s,1,1,1,25,50,0.5,false
17,11:37:37.851,target,pistol,0s,1,1,1,25,50,0.5,false
18,11:37:38.081,target,pistol,0s,1,1,1,25,50,0.5,false
19,11:37:38.277,target,pistol,0s,1,1,1,25,50,0.5,false
20,11:37:38.611,target,pistol,0s,1,1,1,25,50,0.5,false
21,11:37:38.804,target,pistol,0s,1,1,1,25,50,0.5,false
22,11:37:39.335,target,pistol,0.33s,2,1,0.5,25,100,0.25,false
23,11:37:39.538,target,pistol,0s,1,1,1,25,50,0.5,false
24,11:37:39.724,target,pistol,0s,1,1,1,25,50,0.5,false
25,11:37:39.935,target,pistol,0s,1,1,1,25,50,0.5,false
26,11:37:40.175,target,pistol,0s,1,1,1,25,50,0.5,false
27,11:37:40.408,target,pistol,0s,1,1,1,25,50,0.5,false
28,11:37:40.625,target,pistol,0s,1,1,1,25,50,0.5,false
29,11:37:40.905,target,pistol,0s,1,1,1,25,50,0.5,false
30,11:37:41.152,target,pistol,0s,1,1,1,25,50,0.5,false
31,11:37:41.561,target,pistol,0s,1,1,1,25,50,0.5,false
32,11:37:41.898,target,pistol,0s,1,1,1,25,50,0.5,false
33,11:37:42.082,target,pistol,0s,1,1,1,25,50,0.5,false
34,11:37:42.505,target,pistol,0s,1,1,1,25,50,0.5,false
35,11:37:42.795,target,pistol,0s,1,1,1,25,50,0.5,false
36,11:37:43.309,target,pistol,0.227s,2,1,0.5,25,100,0.25,false
37,11:37:43.585,target,pistol,0s,1,1,1,25,50,0.5,false
38,11:37:43.802,target,pistol,0s,1,1,1,25,50,0.5,false
39,11:37:43.998,target,pistol,0s,1,1,1,25,50,0.5,false
40,11:37:44.206,target,pistol,0s,1,1,1,25,50,0.5,false
41,11:37:44.433,target,pistol,0.001s,1,1,1,25,50,0.5,false
42,11:37:44.639,target,pistol,0s,1,1,1,25,50,0.5,false
43,11:37:44.873,target,pistol,0s,1,1,1,25,50,0.5,false
44,11:37:45.086,target,pistol,0s,1,1,1,25,50,0.5,false
45,11:37:45.316,target,pistol,0s,1,1,1,25,50,0.5,false
46,11:37:45.543,target,pistol,0s,1,1,1,25,50,0.5,false
47,11:37:45.846,target,pistol,0s,1,1,1,25,50,0.5,false
48,11:37:46.236,target,pistol,0s,1,1,1,25,50,0.5,false
49,11:37:46.690,target,pistol,0s,1,1,1,25,50,0.5,false
50,11:37:46.903,target,pistol,0s,1,1,1,25,50,0.5,false
51,11:37:47.183,target,pistol,0s,1,1,1,25,50,0.5,false
52,11:37:47.394,target,pistol,0s,1,1,1,25,50,0.5,false
53,11:37:47.633,target,pistol,0s,1,1,1,25,50,0.5,false
54,11:37:47.840,target,pistol,0s,1,1,1,25,50,0.5,false
55,11:37:48.040,target,pistol,0s,1,1,1,25,50,0.5,false
56,11:37:48.644,target,pistol,0.397s,2,1,0.5,25,100,0.25,false
57,11:37:49.040,target,pistol,0s,1,1,1,25,50,0.5,false
58,11:37:49.231,target,pistol,0s,1,1,1,25,50,0.5,false
59,11:37:49.493,target,pistol,0s,1,1,1,25,50,0.5,false
60,11:37:49.913,target,pistol,0s,1,1,1,25,50,0.5,false
61,11:37:50.097,target,pistol,0s,1,1,1,25,50,0.5,false
62,11:37:50.591,target,pistol,0.308s,2,1,0.5,25,100,0.25,false
63,11:37:50.870,target,pistol,0s,1,1,1,25,50,0.5,false
64,11:37:51.091,target,pistol,0s,1,1,1,25,50,0.5,false
65,11:37:51.285,target,pistol,0s,1,1,1,25,50,0.5,false
66,11:37:51.490,target,pistol,0s,1,1,1,25,50,0.5,false
67,11:37:51.681,target,pistol,0s,1,1,1,25,50,0.5,false
68,11:37:51.914,target,pistol,0s,1,1,1,25,50,0.5,false
69,11:37:52.111,target,pistol,0s,1,1,1,25,50,0.5,false
70,11:37:52.331,target,pistol,0s,1,1,1,25,50,0.5,false
71,11:37:52.561,target,pistol,0s,1,1,1,25,50,0.5,false
72,11:37:53.028,target,pistol,0.253s,2,1,0.5,25,100,0.25,false
73,11:37:53.508,target,pistol,0s,1,1,1,25,50,0.5,false
74,11:37:54.064,target,pistol,0.364s,2,1,0.5,25,100,0.25,false
75,11:37:54.249,target,pistol,0.001s,1,1,1,25,50,0.5,false
76,11:37:54.474,target,pistol,0s,1,1,1,25,50,0.5,false
77,11:37:54.668,target,pistol,0s,1,1,1,25,50,0.5,false
78,11:37:54.962,target,pistol,0s,1,1,1,25,50,0.5,false
