Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:01:32.097,air1_far_long,Track Master 100,14.838s,1485,1000,0.673,1000,1485,0.673,false
2,20:01:51.722,air1_far_long,Track Master 100,17.468s,1748,1000,0.572,1000,1748,0.572,false
3,20:02:13.948,air1_far_long,Track Master 100,19.969s,1998,1000,0.501,1000,1998,0.501,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5284,3034,3034.0,5284.0,

Kills:,3
Deaths:,0
Fight Time:,52.275002
Avg TTK:,20
Damage Done:,3034.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3034.0
Scenario:,air far long strafes
Hash:,31ba721a596c28b3bd5189ecba06fb64
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
