Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:04:44.599,Pigeon,LG,2.327s,44,20,0.455,120,264,0.455,false
2,20:04:48.617,Pigeon,LG,3.191s,60,21,0.35,126,360,0.35,false
3,20:04:52.404,Pigeon,LG,3.084s,58,19,0.328,114,348,0.328,false
4,20:04:55.927,Pigeon,LG,2.433s,46,22,0.478,132,276,0.478,false
5,20:04:59.821,Pigeon,LG,3.353s,63,20,0.317,120,378,0.317,false
6,20:05:02.404,Pigeon,LG,1.783s,34,18,0.529,108,204,0.529,false
7,20:05:06.591,Pigeon,LG,3.407s,64,20,0.312,120,384,0.312,false
8,20:05:10.652,Pigeon,LG,3.191s,60,20,0.333,120,360,0.333,false
9,20:05:15.042,Pigeon,LG,3.571s,67,20,0.299,120,402,0.299,false
10,20:05:17.688,Pigeon,LG,1.947s,37,21,0.568,126,222,0.568,false
11,20:05:22.125,Pigeon,LG,3.949s,74,20,0.27,120,444,0.27,false
12,20:05:26.129,Pigeon,LG,3.246s,61,20,0.328,120,366,0.328,false
13,20:05:29.613,Pigeon,LG,2.757s,52,20,0.385,120,312,0.385,false
14,20:05:36.086,Pigeon,LG,5.789s,108,20,0.185,120,648,0.185,false
15,20:05:40.396,Pigeon,LG,3.623s,68,19,0.279,114,408,0.279,false
16,20:05:44.406,Pigeon,LG,3.409s,64,20,0.312,120,384,0.312,false
17,20:05:48.046,Pigeon,LG,3.03s,57,20,0.351,120,342,0.351,false
18,20:05:51.075,Pigeon,LG,2.703s,51,20,0.392,120,306,0.392,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1068,360,2160.0,6408.0,

Kills:,18
Deaths:,0
Fight Time:,56.792999
Avg TTK:,3.922
Damage Done:,2160.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,18.0
Scenario:,fuglaab180t
Hash:,d34e45dd8eeddb71fbbf8fb7f1830f86
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
