Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:20:35.422,Quaker Bot Long Strafes,MG,0.601s,40,40,1,80,80,1,false
2,08:20:36.236,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
3,08:20:37.394,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
4,08:20:39.106,Quaker Bot Long Strafes,MG,0.64s,50,40,0.8,80,100,0.8,false
5,08:20:39.878,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
6,08:20:40.991,Quaker Bot Long Strafes,MG,0.465s,70,40,0.571,80,140,0.571,false
7,08:20:42.043,Quaker Bot Long Strafes,MG,0.557s,90,60,0.667,80,180,0.444,false
8,08:20:43.177,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
9,08:20:43.691,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
10,08:20:45.050,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
11,08:20:46.093,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
12,08:20:46.993,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
13,08:20:47.937,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
14,08:20:49.197,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
15,08:20:50.147,Quaker Bot Long Strafes,MG,0.487s,80,40,0.5,80,160,0.5,false
16,08:20:50.903,Quaker Bot Long Strafes,MG,0.207s,40,40,1,70,80,0.875,false
17,08:20:51.555,Quaker Bot Long Strafes,MG,0.278s,50,50,1,80,100,0.8,false
18,08:20:52.633,Quaker Bot Long Strafes,MG,0.59s,80,40,0.5,80,160,0.5,false
19,08:20:53.475,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
20,08:20:54.426,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
21,08:20:55.456,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
22,08:20:57.317,Quaker Bot Long Strafes,MG,0.591s,60,40,0.667,80,120,0.667,false
23,08:20:57.955,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
24,08:20:58.738,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
25,08:20:59.565,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,70,120,0.583,false
26,08:21:00.703,Quaker Bot Long Strafes,MG,0.488s,80,40,0.5,80,160,0.5,false
27,08:21:01.757,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
28,08:21:02.441,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
29,08:21:03.470,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
30,08:21:04.822,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
31,08:21:05.970,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
32,08:21:06.594,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
33,08:21:07.935,Quaker Bot Long Strafes,MG,0.347s,60,60,1,80,120,0.667,false
34,08:21:09.113,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
35,08:21:10.002,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
36,08:21:10.845,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
37,08:21:11.610,Quaker Bot Long Strafes,MG,0.277s,50,50,1,80,100,0.8,false
38,08:21:12.956,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
39,08:21:13.706,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
40,08:21:14.547,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
41,08:21:16.196,Quaker Bot Long Strafes,MG,0.815s,100,40,0.4,70,200,0.35,false
42,08:21:17.207,Quaker Bot Long Strafes,MG,0.557s,90,50,0.556,70,180,0.389,false
