Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:06:08.473,Quaker Bot Long Strafes,LG,0.553s,20,20,1,100,100,1,false
2,20:06:09.566,Quaker Bot Long Strafes,LG,0.346s,36,20,0.556,100,180,0.556,false
3,20:06:10.786,Quaker Bot Long Strafes,LG,0.206s,22,20,0.909,100,110,0.909,false
4,20:06:11.626,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
5,20:06:12.386,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
6,20:06:13.106,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
7,20:06:14.013,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
8,20:06:14.873,Quaker Bot Long Strafes,LG,0.247s,26,20,0.769,100,130,0.769,false
9,20:06:15.726,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
10,20:06:16.530,Quaker Bot Long Strafes,LG,0.246s,26,20,0.769,100,130,0.769,false
11,20:06:17.093,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
12,20:06:18.243,Quaker Bot Long Strafes,LG,0.7s,38,20,0.526,100,190,0.526,false
13,20:06:19.147,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
14,20:06:19.760,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
15,20:06:20.207,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
16,20:06:20.977,Quaker Bot Long Strafes,LG,0.217s,23,20,0.87,100,115,0.87,false
17,20:06:21.487,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
18,20:06:22.027,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
19,20:06:22.844,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
20,20:06:23.610,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
21,20:06:24.247,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
22,20:06:24.877,Quaker Bot Long Strafes,LG,0.226s,24,20,0.833,100,120,0.833,false
23,20:06:25.854,Quaker Bot Long Strafes,LG,0.346s,36,20,0.556,100,180,0.556,false
24,20:06:26.997,Quaker Bot Long Strafes,LG,0.387s,40,20,0.5,100,200,0.5,false
25,20:06:27.660,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
26,20:06:28.554,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
27,20:06:29.510,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
28,20:06:30.250,Quaker Bot Long Strafes,LG,0.216s,23,20,0.87,100,115,0.87,false
29,20:06:31.220,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
30,20:06:31.930,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
31,20:06:32.637,Quaker Bot Long Strafes,LG,0.216s,23,20,0.87,100,115,0.87,false
32,20:06:33.084,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
33,20:06:34.061,Quaker Bot Long Strafes,LG,0.327s,34,20,0.588,100,170,0.588,false
34,20:06:34.924,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
35,20:06:36.117,Quaker Bot Long Strafes,LG,0.227s,24,20,0.833,100,120,0.833,false
36,20:06:37.037,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
37,20:06:37.790,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
38,20:06:38.951,Quaker Bot Long Strafes,LG,0.647s,66,20,0.303,100,330,0.303,false
39,20:06:39.828,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
40,20:06:40.944,Quaker Bot Long Strafes,LG,0.256s,27,20,0.741,100,135,0.741,false
41,20:06:41.811,Quaker Bot Long Strafes,LG,0.217s,23,20,0.87,100,115,0.87,false
42,20:06:42.624,Quaker Bot Long Strafes,LG,0.246s,26,20,0.769,100,130,0.769,false
43,20:06:44.028,Quaker Bot Long Strafes,LG,0.713s,45,20,0.444,100,225,0.444,false
44,20:06:44.964,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
45,20:06:46.165,Quaker Bot Long Strafes,LG,0.486s,50,20,0.4,100,250,0.4,false
46,20:06:47.207,Quaker Bot Long Strafes,LG,0.446s,46,20,0.435,100,230,0.435,false
47,20:06:47.811,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
48,20:06:48.862,Quaker Bot Long Strafes,LG,0.346s,36,20,0.556,100,180,0.556,false
49,20:06:49.601,Quaker Bot Long Strafes,LG,0.206s,22,20,0.909,100,110,0.909,false
50,20:06:50.254,Quaker Bot Long Strafes,LG,0.226s,24,20,0.833,100,120,0.833,false
51,20:06:50.944,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
52,20:06:51.491,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
53,20:06:52.241,Quaker Bot Long Strafes,LG,0.226s,24,20,0.833,100,120,0.833,false
54,20:06:52.881,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
55,20:06:53.549,Quaker Bot Long Strafes,LG,0.246s,26,20,0.769,100,130,0.769,false
56,20:06:54.329,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
57,20:06:55.515,Quaker Bot Long Strafes,LG,0.217s,23,20,0.87,100,115,0.87,false
58,20:06:56.175,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
59,20:06:56.949,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
60,20:06:57.558,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
61,20:06:58.288,Quaker Bot Long Strafes,LG,0.247s,26,20,0.769,100,130,0.769,false
62,20:06:59.462,Quaker Bot Long Strafes,LG,0.306s,32,20,0.625,100,160,0.625,false
63,20:07:00.112,Quaker Bot Long Strafes,LG,0.387s,40,20,0.5,100,200,0.5,false
64,20:07:00.921,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
65,20:07:01.485,Quaker Bot Long Strafes,LG,0.226s,24,20,0.833,100,120,0.833,false
66,20:07:02.305,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
67,20:07:03.065,Quaker Bot Long Strafes,LG,0.266s,28,20,0.714,100,140,0.714,false
68,20:07:03.862,Quaker Bot Long Strafes,LG,0.326s,34,20,0.588,100,170,0.588,false
69,20:07:04.628,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
70,20:07:05.219,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
71,20:07:05.982,Quaker Bot Long Strafes,LG,0.296s,31,20,0.645,100,155,0.645,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1836,1427,7135.0,9180.0,

Kills:,71
Deaths:,0
Fight Time:,18.277
Avg TTK:,0.845
Damage Done:,7135.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,71.349998
Scenario:,voxTargetSwitch
Hash:,0726d639df23bb87e88e374b5038d834
Game Version:,2.0.2.0

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,6.0
Vert Sens:,6.0
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
