Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:07:16.810,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
2,20:07:17.467,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
3,20:07:18.110,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
4,20:07:18.907,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
5,20:07:20.080,Quaker Bot Long Strafes,LG,0.833s,56,20,0.357,100,280,0.357,false
6,20:07:20.880,Quaker Bot Long Strafes,LG,0.326s,34,20,0.588,100,170,0.588,false
7,20:07:21.433,Quaker Bot Long Strafes,LG,0.226s,24,20,0.833,100,120,0.833,false
8,20:07:22.147,Quaker Bot Long Strafes,LG,0.256s,27,20,0.741,100,135,0.741,false
9,20:07:22.647,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
10,20:07:23.240,Quaker Bot Long Strafes,LG,0.236s,25,20,0.8,100,125,0.8,false
11,20:07:24.000,Quaker Bot Long Strafes,LG,0.206s,22,20,0.909,100,110,0.909,false
12,20:07:24.861,Quaker Bot Long Strafes,LG,0.347s,36,20,0.556,100,180,0.556,false
13,20:07:25.587,Quaker Bot Long Strafes,LG,0.297s,31,20,0.645,100,155,0.645,false
14,20:07:26.204,Quaker Bot Long Strafes,LG,0.227s,24,20,0.833,100,120,0.833,false
15,20:07:26.984,Quaker Bot Long Strafes,LG,0.317s,33,20,0.606,100,165,0.606,false
16,20:07:28.301,Quaker Bot Long Strafes,LG,0.743s,75,20,0.267,100,375,0.267,false
17,20:07:29.061,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
18,20:07:29.831,Quaker Bot Long Strafes,LG,0.206s,22,20,0.909,100,110,0.909,false
19,20:07:30.441,Quaker Bot Long Strafes,LG,0.236s,25,20,0.8,100,125,0.8,false
20,20:07:31.128,Quaker Bot Long Strafes,LG,0.276s,29,20,0.69,100,145,0.69,false
21,20:07:32.098,Quaker Bot Long Strafes,LG,0.356s,37,20,0.541,100,185,0.541,false
22,20:07:32.781,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
23,20:07:33.308,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
24,20:07:33.818,Quaker Bot Long Strafes,LG,0.286s,30,20,0.667,100,150,0.667,false
25,20:07:34.348,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
26,20:07:35.288,Quaker Bot Long Strafes,LG,0.536s,55,20,0.364,100,275,0.364,false
27,20:07:36.295,Quaker Bot Long Strafes,LG,0.587s,60,20,0.333,100,300,0.333,false
28,20:07:36.875,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
29,20:07:37.605,Quaker Bot Long Strafes,LG,0.307s,32,20,0.625,100,160,0.625,false
30,20:07:38.424,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
31,20:07:39.215,Quaker Bot Long Strafes,LG,0.216s,23,20,0.87,100,115,0.87,false
32,20:07:39.935,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
